ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
,,2,นายสกนธ์  กัปปิยจรรยา,ประชาภิวัฒน์,186
,,18,นายธนชัย  ตั้งตรงสากล,ไทยศรีวิไลย์,183
,,23,นางสาวดวงกมล  อดุลย์เศรณี,พลังไทยรักชาติ,147
,,21,นายอุปถัมภ์  พรรณสังข์,ครูไทยเพื่อประชาชน,142
,,22,นายกิตตน์  รุ่งณรงค์รักษ์,พลังชาติไทย,129
,,7,นางนงลักษณ์  ติรกาญจนา,พลังธรรมใหม่,102
,,26,นายชมน์สฤษฏ์  รัตนชัยเดชา,ประชาธิปไตยใหม่,101
,,16,นายปฐวี  ชัยวัฒน์,ประชานิยม,40
,,17,นางธนัชพร  วงษ์ทองทิว,ภราดรภาพ,36
,,25,นายพิสิษฐ์  เจียมจิรอานนท์,พลังไทสร้างชาติ,34
,,31,นางสาวภัทรา  นิทัศนานนทชัย,แผ่นดินธรรม,34
,,28,นางสาวพัชรินทร์  ประสพสุข,พลังศรัทธา,32
,,24,ร้อยตรี ศรันย์วิทย์  เหมรักษ์,พลังสังคม,29
,,33,นายกฤษณะ  เนตร์ชัยรัตน์,ไทรักธรรม,28
,,29,นางสาวไอยพราว  พัชร์ปวริศร์,มหาชน,27
,,30,นางสาวปัญนิษา  จำรัสธนเดช,ประชาธรรมไทย,25
,,32,นายสุรสิทธิ์  ผาบชมภู,ภาคีเครือข่ายไทย,12
,,27,นายเพียรชัย  องค์ศรีตระกูล,มติประชา,9
,4,6,นางกรณิศ  งามสุคนธ์รัตนา,พลังประชารัฐ,"27,620"
กรุงเทพมหานคร,4,2,นายกรณ์  จตุวิมล,อนาคตใหม่,"25,588"
,,11,นายอนุชา  บูรพชัยศรี,ประชาธิปัตย์,"13,890"
,,21,นายธนภณ  ธัญธนสกุล,เศรษฐกิจใหม่,"4,408"
,,1,นายบุญเลิศ  นุ้ยเมือง,เพื่อชาติ,"3,424"
,,3,นางสาวเดือนเพ็ญ  ยวงสูงเนิน,เสรีรวมไทย,"3,199"
,,5,นายเอกราช  หวังนุช,ภูมิใจไทย,898
,,4,นายพิรสุต  จันทรานุวัฒน์,รวมพลังประชาชาติไทย,712
,,8,นายมีชัย  ออสุวรรณ,ประชาชาติ,420
,,17,นายอดิธร  ศรีประเสริฐ,พลังท้องถิ่นไท,395
,,7,นางสาวเมลิสา  มหาพล,ชาติพัฒนา,269
,,16,นางสุธีรัชต์  อมรพงศาพันธ์,รักษ์ผืนป่าประเทศไทย,269
,,14,นางสาวสกุลทิพย์  วิชญาโนทัย,ชาติไทยพัฒนา,202
,,12,นายสมชาย  ชีวเกรียงไกร,ประชาชนปฏิรูป,179
,,10,นายศุภฤกษ์  ธนาพัชรมนฑ์,ไทยศรีวิไลย์,165
,,28,นายสมพิศ  ผอบเพ็ชร,พลังไทสร้างชาติ,124
,,22,นายธนเดช  ไชยพฤกษ์,ประชากรไทย,75
,,24,นางสาวปุณณ์ภัสสร  จีรวิวัฒนชัย,ประชาธิปไตยใหม่,74
,,26,นายนิพนธ์  ฐิติภัค,มติประชา,71
,,20,นายธนเสฏฐ์  รัตนสมบูรณ์,พลังชาติไทย,64
,,13,นายจักรกรินทร์  สิงหนุต,มหาชน,62
,,19,นายพันเทพ  หงษ์สุมาลย์,ประชานิยม,51
,,23,นายวุฒิวัฒน์  ธนินพัฒนรัตน์,ครูไทยเพื่อประชาชน,45
,,9,นายนรินทร์  โกศลรุ่งเรือง,ประชาภิวัฒน์,40
,,25,นายณัฐรัตน์  ไหลพิริยกุล,พลังรัก,35
,,31,นางสาวดารารัตน์  สีแดง,ไทรักธรรม,32
,,15,นายสันทัด  อัศวมั่นคงเจริญ,ภราดรภาพ,26
,,29,นางสาวจิรากัญ  มากบุญธรรม,พลเมืองไทย,25
,,30,นางสาวณัฐรมณ์  ลิ้นลา,พลังศรัทธา,20
,,32,นายฉัตรชัย  คงเกิด,ภาคีเครือข่ายไทย,17
,,27,นางกาญจนาภา  สิทธิคุณาพันธุ์,ประชาธรรมไทย,13
,5,13,นายประเดิมชัย  บุญช่วยเหลือ,เพื่อไทย,"27,897"
,,2,นางสาวอรพินทร์  เพชรทัต,พลังประชารัฐ,"27,667"
,,8,นายอดิศร  โพธิ์อ่าน,อนาคตใหม่,"25,484"
,,9,นายธนา  ชีรวินิจ,ประชาธิปัตย์,"18,711"
,,29,นายปฎิวัติ  ตรองจิตต์,เศรษฐกิจใหม่,"5,707"
,,7,นายกฤต  เลิศเศรษฐการ,เสรีรวมไทย,"2,583"
,,4,นายธัชพงศ์  ชูดำ,ภูมิใจไทย,746
,,17,นายภาณุพงศ์  บัวมาตร,รวมพลังประชาชาติไทย,603
,,11,นายสุทักษ์  จิระรัตนวงศ์,ชาติไทยพัฒนา,436
,,15,นายจักรทิพย์  ปัทมะทิน,รักษ์ผืนป่าประเทศไทย,369
,,1,นายยงยุทธ  วงศ์ธีระสูตร,ชาติพัฒนา,291
,,14,นางสาวสาวิตรี  สาทสุทธิ,เพื่อชาติ,221
,,6,นางสาวณฐบดี  อภิญญาตกุล,ไทยศรีวิไลย์,209
,,24,นางเอื้องฟ้า  งามธุระ,ชาติพันธุ์ไทย,164
,,3,นายอภิเดช  ชยานนท์เกสรี,ประชาชาติ,140
,,21,นายณัฐสุรัช  หงษ์วิจิตปรีชา,ประชาธิปไตยใหม่,107
,,22,นายพงศ์สัคค์  พุฒแก้ว,พลังชาติไทย,104
กรุงเทพมหานคร,5,12,นายศุภศักดิ์  บุญญะสุต,ประชาภิวัฒน์,97
,,18,นายสมเกียรติ  มั่นคง,พลังสังคม,97
,,10,นางกรรธิมา  สันติสุข,พลังธรรมใหม่,92
,,26,นายอนุรักษ์  รุ่งแจ้ง,พลังท้องถิ่นไท,86
,,33,นางพิชญ์ดา  เดอเยซูซ์,พลังประชาธิปไตย,82
,,25,นางสาวสุรีพร  สัมโย,พลังไทยรักไทย,77
,,23,นายกวิน  นิลพานิช,ครูไทยเพื่อประชาชน,56
,,16,นางน้องนุช  โทเอ,ภราดรภาพ,38
,,20,นายพนิต  นุชน้อย,ประชานิยม,38
,,30,นายภูเบศร์  มงคลวัฒน์,มหาชน,30
