ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
,,1,นายไกรสีห์  รัตนเศียร,ชาติพัฒนา,"1,433"
,,10,พลตำรวจตรี สุรศักดิ์  รมยานนท์,ประชาชาติ,"1,409"
,,21,นางสาวสาวิตรี  สืบสอน,ประชาธรรมไทย,548
,,5,นายไสว  ชัยบุญเรือง,ประชานิยม,513
,,15,นายอำพร  แพทย์ศาสตร์,รักษ์ผืนป่าประเทศไทย,498
,,23,นางลัดดา  แขวงอุบล,เครือข่ายชาวนาแห่งประเทศไทย,439
,,14,นายกริ่ม  หาญพัฒน์,ไทยศรีวิไลย์,436
,,11,นายเอกอรุณ  มีวรรณ,ทางเลือกใหม่,400
,,6,นายสัมภาษณ์   อัศวภูมิ,พลังท้องถิ่นไท,324
,,24,นายไพรัตน์  เกษโกวิท,พลังสังคม,275
,,22,นางสาวธัญวรินทร์  แดงอาจ,ครูไทยเพื่อประชาชน,256
,,17,นายวีระชัย  จูห้อง,ชาติไทยพัฒนา,235
,,18,นายสุวรรณ  สงวนหงษ์,พลังชาติไทย,225
,,16,นายรัฐ  อภิบาลศรี,ประชาภิวัฒน์,189
,,20,นายธนินท์ธร  เกษรมาลา,ประชากรไทย,148
,,25,นายชูเกียรติ  บางขุนทด,ไทรักธรรม,132
ตาก,1,10,นายธนัสถ์  ทวีเกื้อกูลกิจ,พลังประชารัฐ,"43,787"
,,1,นายนัสชัย  มูลสาย,อนาคตใหม่,"19,664"
,,2,นายเธียรชัย  สุวรรณเพ็ญ,ประชาธิปัตย์,"16,142"
,,3,นายณพล  ชยานนท์ภักดี,เพื่อชาติ,"10,954"
,,8,นายประสงค์  นามเสถียร,ภูมิใจไทย,"9,217"
,,6,นายศรีทอง  ศรีธิทอง,เสรีรวมไทย,"2,298"
,,4,นายไพศาล  ชมภู,พลังท้องถิ่นไท,757
,,13,นายเอกสิทธิ์  คุ้มอรุณรัตนกุล,รวมพลังประชาชาติไทย,680
,,20,นายถกลวิทย์  เดือนแจ่ม,พลังไทยรักไทย,596
,,5,นายเศรษฐสิน  สีม่วงคำทวีสิน,ชาติไทยพัฒนา,595
,,17,นายสุริยา  มาเกิด,พลังชาติไทย,507
,,11,นายเอนก  สีหมอก,ประชาภิวัฒน์,363
,,19,ร้อยตรี ไพศาล  สุขใส,พลังประชาธิปไตย,272
,,21,นางหม่อ  แซ่ว่าง,ประชาชาติ,265
,,7,นายสุริยา  แก้วเสน,ประชาธรรมไทย,229
,,22,นางวณิชชา  บุพการีพร,กรีน,225
,,12,นายบุ้น  คุ้มอรุณรัตนกุล,รักษ์ผืนป่าประเทศไทย,218
,,18,นายส้มกลิ่น  มีสุข,ครูไทยเพื่อประชาชน,162
,,23,ว่าที่ ร้อยตรี สมศักดิ์  วนกรกุล,แทนคุณแผ่นดิน,144
,,25,นายธิติพัทธ์  จิระธนันท์กุล,ไทรักธรรม,138
,,14,นางอรทัย  เกิดแสง,ประชานิยม,79
,,16,นายยุทธธนา  โพธิวงษ์,พลังปวงชนไทย,78
,,24,นางมัลลิกา  กุศล,ผึ้งหลวง,64
,,15,ร้อยตำรวจโท สงวนศักดิ์  สังข์สำราญสกุล,ประชาชนปฏิรูป,53
,2,4,นายชัยวุฒิ  บรรณวัฒน์,ประชาธิปัตย์,"32,929"
,,3,นายเงินตรา  ทั้งเกสร,อนาคตใหม่,"18,314"
,,5,นายฑีฆะพล  ทวีเกื้อกูลกิจ,พลังประชารัฐ,"17,164"
,,8,พันตำรวจโท ปรีชา  โพธิยา,เสรีรวมไทย,"2,116"
ตาก,2,16,นายวิสุทธิชัย  ยั่งยงสกุล,ประชาชาติ,"1,603"
,,24,นายศุภชัย  มาลีศรีอมร,กรีน,"1,015"
,,13,นายธีรยุทธ  วงษ์แหวน,เพื่อชาติ,946
,,10,นายณัฐวัฒน์  ชัยสงค์,พลังท้องถิ่นไท,642
,,25,นายศุภฤกษ์  กาวินำ,พลเมืองไทย,591
,,1,นางสาวบุบผาวรรณ  บุญชู,ประชานิยม,467
,,23,นางสาวขวัญตา  อ๊ะนา,พลังไทยรักไทย,448
,,2,นางหยดฝน  ผู้กำจัด,รวมพลังประชาชาติไทย,445
,,6,นายจันทรัสม์  ศรีสมุทร,ชาติไทยพัฒนา,366
,,19,นายอำพร  นันทหาร,ภูมิใจไทย,343
,,12,นายวิรัตน์  ธงชัยธนากุล,สังคมประชาธิปไตยไทย,322
,,21,นายภาคภูมิ  เจริญชัยสกุลคีรี,ครูไทยเพื่อประชาชน,191
,,17,นายสมพงษ์  ต่ำจันทร์,เพื่อแผ่นดิน,187
,,11,นายมานิต  เกิดมูล,ประชาธรรมไทย,170
,,15,นายสุรพล  โปทาคำ,พลังปวงชนไทย,169
,,7,นายญาณพัฒน์  ไพรมีทรัพย์,ประชาภิวัฒน์,167
,,14,ว่าที่ พันตรี มังกร  รำพรรณนิยม,พลังชาติไทย,150
,,18,นายประดิษฐ์  รุ่งศรี,รักษ์ผืนป่าประเทศไทย,149
,,22,นายกุศล  ต่อติด,พลังรัก,96
,,26,นายสวัสดิ์  เสนแก้ว,แทนคุณแผ่นดิน,93
,,20,นายสุทธิเกียรติ  บุตรา,ประชาชนปฏิรูป,73
,,27,นายกมล  ผอบทิพย์,ผึ้งหลวง,63
,,29,นางเพ็ญนภา  จันทรมณฑล,ไทรักธรรม,56
,,28,นายประกิต  นิธิกุล,พลังแผ่นดินทอง,41
,3,3,นายภาคภูมิ  บูลย์ประมุข,พลังประชารัฐ,"20,688"
,,9,นายชัยณรงค์  มะเดชะ,เพื่อไทย,"19,212"
,,8,นายธนิตพล  ไชยนันทน์,ประชาธิปัตย์,"13,118"
,,11,นายอภิสิทธิ์  สายธารอิสระ,อนาคตใหม่,"9,907"
,,5,นายอมรเทพ  นันตาสาย,เพื่อชาติ,"4,370"
,,7,นางสาวสุกัลยา  โชคบำรุง,ภูมิใจไทย,"3,048"
,,2,พันตำรวจโท ปฐมพงษ์  ก่อพาราภิรมย์,เสรีรวมไทย,"2,062"
,,6,นางสาววารี  ฉันพลันรังสี,ประชาภิวัฒน์,"1,440"
,,1,นายเสน่ห์  วินิจชอบ,ประชาธรรมไทย,719
,,23,นายสนิท  แก้วตา,แทนคุณแผ่นดิน,704
,,27,นายกฤษฎา  กาวิใจ,เศรษฐกิจใหม่,577
,,10,นางสาวอบเชย  กันใจ,ประชานิยม,471
,,12,นายสงกรานต์  พลบูรณ์,ชาติไทยพัฒนา,316
,,21,นายมนูญ  สุขวรรณ,พลเมืองไทย,290
,,18,นายชลชัย  สุโพธิ์,พลังท้องถิ่นไท,283
,,17,นางจิดาภา  เพ็ญธิยะ,พลังปวงชนไทย,253
,,22,นางสาวปทิตตา  อชิรธัญธร,พลังไทยรักไทย,252
,,13,นายมงคล  แสงนิล,รักษ์ผืนป่าประเทศไทย,237
,,16,นายบรรเลง  เที่ยงตรง,พลังชาติไทย,236
,,19,นายประจิน  พิณภ์โกศล,ครูไทยเพื่อประชาชน,202
,,25,นายสุเทพ  ตามาสา,เพื่อแผ่นดิน,181
,,15,นายพูลศักดิ์  ตันยา,รวมพลังประชาชาติไทย,160
,,14,นายสกนธ์  สังข์สำราญสกุล,ประชาชนปฏิรูป,131
ตาก,3,24,นายทองม้วน  สิทธิแก้ว,ผึ้งหลวง,125
,,20,นางภัทรศยา  สุภาสุข,พลังรัก,110
,,26,นายจรัญ  จี๋ก๋อย,ไทรักธรรม,110
นครนายก,1,9,นายวุฒิชัย  กิตติธเนศวร,เพื่อไทย,"60,943"
,,7,นายสมพงษ์  สายทอง,พลังประชารัฐ,"35,005"
,,16,นายอุดม  พัชรพนาวีร์,อนาคตใหม่,"21,038"
,,11,นายสกลชัย  อิสระเสนารักษ์,ประชาธิปัตย์,"17,066"
,,1,นายธนภัทร  พุฒซ้อน,เสรีรวมไทย,"3,439"
,,18,นายบุญเลิศ  แก้วใย,เศรษฐกิจใหม่,"1,912"
,,10,ว่าที่ ร้อยตรี นิคม  พุ่มพิจิตร์,พลังท้องถิ่นไท,"1,707"
,,15,นางปวีนา  ศุขวัฒน์,ภูมิใจไทย,"1,151"
,,14,นายมูมัด  มั่นคง,ประชาชาติ,"1,134"
,,8,นายสุริยา  ดวงจิตร,ประชาธิปไตยใหม่,"1,057"
,,6,นายนิรัฐ  นิภานันท์,รักษ์ผืนป่าประเทศไทย,815
,,4,จ่าสิบเอก ธนวัฒน์  เสือสวย,เพื่อชาติ,569
,,5,นายรัชฏะ  สมรทินกร,ชาติพัฒนา,519
,,2,นายรพีพงศ์  วิริยะกุลมงคล,ประชานิยม,362
,,12,นายสันทัด  ระงับทุกข์,พลังปวงชนไทย,332
,,17,นางสมศิริ  กัลยาเลิศ,รวมพลังประชาชาติไทย,320
,,20,นายประสิทธิ์  วงษ์อินทร์,พลังชาติไทย,265
,,21,นายประสงค์  สภาพฤกษ์,เพื่อแผ่นดิน,249
,,3,นางมาริสา  บำรุง,ประชาภิวัฒน์,240
,,19,นายเกียรติภัช  เกิดรี,ครูไทยเพื่อประชาชน,215
,,13,นายธนานุพงษ์  มีมา,พลเมืองไทย,159
นครปฐม,1,2,พันโท สินธพ  แก้วพิจิตร,ประชาธิปัตย์,"35,711"
,,9,นางสาวสาวิกา  ลิมปะสุวัณณะ,อนาคตใหม่,"35,707"
,,4,นายธนกร  เชาวนเมธา,พลังประชารัฐ,"20,387"
,,6,นายพงศ์ธวัช  เศรษฐพินิจ,เสรีรวมไทย,"4,109"
,,11,นายอานันท์  จันทร์สุทธิ,ชาติไทยพัฒนา,"2,040"
,,12,นางสาวพัชรวีร์  นิลพันธุ์,เพื่อชาติ,"1,404"
,,10,นายฐานุพงศ์  รังสิไตรพงศ์,ภูมิใจไทย,"1,302"
,,7,นายสุปรีย์  แสงสว่าง,ไทยศรีวิไลย์,593
,,3,นางธนธรณ์  จันทร์เชย,ชาติพัฒนา,584
,,16,พันตำรวจเอก วันชัย  เปี่ยมสมบูรณ์,รวมพลังประชาชาติไทย,460
,,8,พันตำรวจเอกหญิง รัชณีย์กร  เทศมณี,ประชานิยม,425
,,1,นายสุเทพ  กฤษณพิพัฒน์,ประชาภิวัฒน์,314
,,15,นายวีระกุล  โรจนโพธิ์,รักษ์ผืนป่าประเทศไทย,302
,,19,นางเรไร  สุวรรณศรี,ครูไทยเพื่อประชาชน,282
,,22,นายปัญญา  มากลัด,ไทยรุ่งเรือง,162
,,17,นายบรรจง  ประทุมมาภรณ์,ประชาชนปฏิรูป,161
,,14,นายศุภโชค  กิมเชียง,พลังชาติไทย,159
,,20,นางดวงเดือน  มณีสุข,เครือข่ายชาวนาแห่งประเทศไทย,149
,,18,นางสาวอรอนงค์  ศรีพลเรือน,พลังไทยรักชาติ,134
,,13,นายปราโมทย์  เพชรมีศรี,พลังท้องถิ่นไท,131
,,21,นางรจณา  บุตรโท,มหาชน,66
,2,17,นายพาณุวัฒณ์  สะสมทรัพย์,ชาติไทยพัฒนา,"30,254"
,,4,นายภาคิน  สวนแก้ว,อนาคตใหม่,"24,763"
นครปฐม,2,8,นายรัฐกร  เจนกิจณรงค์,รักษ์ผืนป่าประเทศไทย,"22,634"
,,7,นางกัลยาภัสร์  ปิยาอมรชัยสกุล,ภูมิใจไทย,"8,923"
,,9,พันตำรวจเอก วีระยศ  ชื่นกลิ่นธูปศิริ,พลังประชารัฐ,"8,692"
,,1,นายสมคิด  เปี่ยมคล้า,ประชาธิปัตย์,"6,522"
,,10,พันตำรวจเอก ภัทรพล  เล่าเปี่ยม,เสรีรวมไทย,"3,332"
,,6,นายปัญญวัฒน์  คชศิลา,รวมพลังประชาชาติไทย,"2,815"
,,20,นายเจนวิทย์  ฮวดหนองโพธิ์,เศรษฐกิจใหม่,"1,684"
,,12,นายกอบกิตติ  มุ่งดี,เพื่อชาติ,734
,,16,นางสาวพิมพ์รตา  ศาสตร์สมัย,พลังชาติไทย,398
,,5,นายไพรัตน์  แช่มละออ,ไทยศรีวิไลย์,390
,,3,นายสุขสมนึก  คงแจ่ม,พลังท้องถิ่นไท,258
,,14,นางสาวพัสมนต์  อัครภูวสุรนันท์,ชาติพัฒนา,226
,,11,ร้อยตำรวจตรี ปภังกร  อภิญญาณัฐกุล,ประชานิยม,189
,,21,นายทองสุข  หมื่นณรงค์,เครือข่ายชาวนาแห่งประเทศไทย,157
,,18,นายปพน  มากลัด,ไทยรุ่งเรือง,133
,,25,นายประเสริฐ  โสดามรรค,พลังไทยรักชาติ,121
,,19,นางสาวนริศรา  อินโอสถ,ครูไทยเพื่อประชาชน,86
,,13,ร้อยตำรวจเอก วิเชียร  พยุหเกียรติ,ประชาภิวัฒน์,84
,,24,นายณัฐปภัสร์  ประกายบุษราคัม,พลเมืองไทย,74
,,26,นายธนวัตน์  เหลืองวิไล,ประชาไทย,74
,,15,นายประวิทย์  ยางหลวง,ประชาชนปฏิรูป,70
,,22,นางสาวฝน  สำอางค์สะอาด,มหาชน,37
,,23,นายณัฐพงษ์  กาเมืองลือ,พลังสังคม,28
,3,4,นางสาวสุทธวรรณ  สุบรรณ ณ อยุธยา,อนาคตใหม่,"40,661"
,,13,นายพรศักดิ์  เปี่ยมคล้า,พลังประชารัฐ,"23,498"
,,15,นายก่อเกียรติ  สิริยะเสถียร,ชาติไทยพัฒนา,"12,291"
,,9,นางสาววันทิพย์  หิรัญธนาอังกูร,เสรีรวมไทย,"8,932"
,,8,นายธนบดี  ภัทรโชคโภคิน,ประชาธิปัตย์,"6,695"
,,10,นายอชิรวิชญ์  มาตา,เพื่อชาติ,"3,018"
,,19,นายธนกฤต  เอกธนัทชัยกุล,เศรษฐกิจใหม่,"1,863"
,,3,นางสาวณิชชาพัทธ์  บุญเจริญ,รวมพลังประชาชาติไทย,"1,491"
,,1,นายประสาท  ยาจิตร์,ภูมิใจไทย,"1,244"
,,5,ร้อยตำรวจโท สุธรรม  เข็มแข็งปรีชานนท์,ชาติพัฒนา,919
,,11,นายสมภพ  ปานฉิม,พลังท้องถิ่นไท,585
,,14,นายกันตภณ  ปทุมารักษ์,ไทยศรีวิไลย์,550
,,21,นายประสิทธิ์  ปิ่นเกล้า,เครือข่ายชาวนาแห่งประเทศไทย,416
,,12,นายปรัชญา  บุตรพันธ์,รักษ์ผืนป่าประเทศไทย,395
,,2,ร้อยตำรวจโท ธาดา  ชาญปรีชา,ประชานิยม,342
,,23,นายเลิศไพฑูรณ์  ท่าทราย,ทางเลือกใหม่,337
,,18,นายวงศกร  แก้วสกุล,พลังชาติไทย,264
,,17,นายชาติ  ธรรมศรี,ครูไทยเพื่อประชาชน,259
,,20,นางสาวอภิญญา  มูลทรงเกียรติ์,พลังไทยรักชาติ,257
,,6,นายพิสิษฐ์  จันทร์เรือง,ประชาภิวัฒน์,247
,,24,นางเครือวัลย์  เพชรอินทร์,มหาชน,182
,,16,นายกฤษณชาติ  สระทองห้อย,ประชาชนปฏิรูป,156
,,26,นายชัยณรงค์  โตศรีพลับ,ประชาไทย,134
,,22,นางสาวกรรณิกา  ไกรโรจน์,ไทยรุ่งเรือง,92
นครปฐม,3,25,นายกฤศ  ศรีบุญรอด,พลังสังคม,79
,4,13,นายปฐมพงศ์  สูญจันทร์,พลังประชารัฐ,"32,110"
,,2,นายสาโรจน์  จุ้ยเจริญ,อนาคตใหม่,"29,998"
,,6,นายอนุชา  สะสมทรัพย์,ชาติไทยพัฒนา,"22,533"
,,14,นายสมชาย  มณีรัตน์,ประชาธิปัตย์,"8,613"
,,8,นายอนุชิต  ปฐมพงศ์พิทักษ์,เสรีรวมไทย,"4,286"
,,7,นายธนกร  กิจสาระภักดี,เพื่อชาติ,"2,557"
,,18,นางสาวสุกฤตา  พระพรหม,เศรษฐกิจใหม่,"2,042"
,,12,นางสาววิภาดา  คชศิลา,รวมพลังประชาชาติไทย,"1,214"
,,5,นายสาธิต  น้อยเรือน,ภูมิใจไทย,"1,029"
,,3,พันตำรวจเอก ทองดำ  เสนาะพิน,ชาติพัฒนา,747
,,1,ร้อยตำรวจโท สุกิจ  ลาภเจริญวงศ์,ประชานิยม,510
,,23,นายวีรวัฒน์  ศักดิ์สุภาพ,พลังไทยรักชาติ,504
,,22,นายวิชัย  แซ่โค้ว,พลังชาติไทย,412
,,10,นางสาวคณิภา  ดีประเสริฐ,ไทยศรีวิไลย์,371
,,19,นางสาวรุ่งอรุณ  สารภาพ,เครือข่ายชาวนาแห่งประเทศไทย,327
,,4,นายสุธิชาติ  สุขสี,พลังท้องถิ่นไท,316
,,11,นายธรรมรัตน์  บุรี,รักษ์ผืนป่าประเทศไทย,216
,,15,นายธนพล  คงพากเพียร,ประชาภิวัฒน์,204
,,17,นายพีรชาติ  หน่อทอง,ครูไทยเพื่อประชาชน,172
,,24,นางยอแสง  ทุมจะโปะ,ไทรักธรรม,160
,,16,นายวรพจน์  เข็มทอง,ประชาชนปฏิรูป,122
,,21,นางสาวสิริขวัญ  แย้มมูล,พลังสังคม,94
,,20,นายจักรินทร์  เพชรอินทร์,มหาชน,56
,5,15,นางจุมพิตา  จันทรขจร,อนาคตใหม่,"34,164"
,,2,นายสุรชัย  อนุตธโต,ประชาธิปัตย์,"18,970"
,,5,นายระวัง  เนตรโพธิ์แก้ว,พลังประชารัฐ,"18,742"
,,17,นายเผดิมชัย  สะสมทรัพย์,ชาติไทยพัฒนา,"12,279"
,,3,นางลาวัลย์  สิงห์สถิต,เสรีรวมไทย,"6,010"
,,19,นายสรัณวัชร  วิเชียรณรัตน์,เศรษฐกิจใหม่,"3,113"
,,13,นายเกรียงศักดิ์  ทองดี,เพื่อชาติ,"2,813"
,,1,นางธนัญจา  รดแป้น,ภูมิใจไทย,"1,178"
,,6,นายลลิต  กิจสมัคร,พลังชาติไทย,779
,,7,นายอาทิตย์  ว่องวสุสมวงศ์,รวมพลังประชาชาติไทย,614
,,4,ร้อยตำรวจโท สามารถ  อำไพ,ประชานิยม,449
,,8,นายวรทัศน์  บุญประคอง,ประชาภิวัฒน์,397
,,11,นายประสม  วงศ์วัฒน์,ไทยศรีวิไลย์,394
,,22,นางสาวพิชญ์สิณี  ภักดีศิริลำดวน,พลเมืองไทย,343
,,12,นางประนอม  เภาด้วง,ชาติพัฒนา,342
,,14,นายแถม  เพ็งหนุน,รักษ์ผืนป่าประเทศไทย,340
,,10,นางสาวสุพาพร  ปานฉิม,พลังท้องถิ่นไท,192
,,23,นายสิรสันต์  พันธุ์สุวรรณ,พลังไทยรักชาติ,180
,,16,นายพงษ์ศิริ  สุธานันท์,ประชาชนปฏิรูป,168
,,18,นายอุทัย  คะณา,ครูไทยเพื่อประชาชน,137
,,24,นายวิธวินท์  สุวรรณฐิติรัตน์,พลังสังคม,121
,,20,นางกาญจนา  หุราหะนนท์,เครือข่ายชาวนาแห่งประเทศไทย,84
,,21,นางไพศรี  ประวัณโณ,มหาชน,70
นครพนม,1,12,นายศุภชัย  โพธิ์สุ,ภูมิใจไทย,"48,719"
,,19,นายยุทธจักร  เรืองวรบูรณ์,เพื่อไทย,"21,049"
,,4,นายธนากร  นิลสาขา,อนาคตใหม่,"7,341"
,,2,นายธงทิพย์ชลิต  แห่สถิตย์,พลังประชารัฐ,"6,799"
,,7,นางรัตนา  ทิพย์เสถียร,เพื่อชาติ,"1,536"
,,6,นายสังคม  สีวังพล,เสรีรวมไทย,"1,203"
,,11,นายสุรชัย  ไชยนาน,รักษ์ผืนป่าประเทศไทย,462
,,18,นายสุริน  ไตริน,ประชาธิปัตย์,434
,,5,นายวิจิตร  ชินสาร,เพื่อคนไทย,314
,,22,นายบุญญาธิการ  บารมีเป็นเลิศ,ไทยศรีวิไลย์,300
,,13,นายสุนทร  ชาสงวน,ชาติพัฒนา,263
,,20,นายบุรี  วรรณวงศ์,พลังปวงชนไทย,260
,,1,นายมะณี  กุลบุตร,ประชาภิวัฒน์,206
,,30,นายธรรมธัช  แมดมิ่งเหง้า,พลังประชาธิปไตย,206
,,23,นายศิริพงษ์  ผาคำ,เศรษฐกิจใหม่,197
,,27,นายยุทธศักดิ์  โพธิ์ละคร,พลังชาติไทย,178
,,3,นายสิงหา  พงษ์สังข์,พลังท้องถิ่นไท,143
,,17,นายเฉลิมชัย  โกษาแสง,พลังธรรมใหม่,138
,,16,นายจตุรภัทร  ข้อจัตุรัส,ประชาชาติ,128
,,9,นางสาวกมลรัตน์  สูญราช,ประชาธิปไตยใหม่,116
,,29,นางสาวนุชจรินทร์  อินปาว,ไทรักธรรม,97
,,8,นายรัชพล  วงก์วรโชติ,ชาติไทยพัฒนา,90
,,15,นางกุหลาบ  นครชัยกุล,รวมพลังประชาชาติไทย,89
,,14,นางสาวนริชเนตร  ภูชุม,ประชาชนปฏิรูป,70
,,10,นางสาววลุนยุพา  ประกาลัง,ประชานิยม,67
,,25,นายอุทัย  ตันสมรส,พลังไทยรักไทย,59
,,26,นายธีระพงษ์  หาญสุโพธิ์,ประชาธรรมไทย,47
,,28,นายณรงค์ฤทธิ์  โคจำนงค์,พลเมืองไทย,23
,2,2,นางมนพร  เจริญศรี,เพื่อไทย,"42,990"
,,10,นางสาวณัฐธ์ภัสส์  ยงใจยุทธ,พลังประชารัฐ,"22,688"
,,12,นายพนมศิลป์  เจริญราษฎร์,อนาคตใหม่,"11,229"
,,6,ว่าที่ ร้อยตรี ถิรวัฒน์  จำปาไชยศรี,เพื่อคนไทย,"2,281"
,,9,นายอารมณ์  เวียงด้าน,ภูมิใจไทย,"2,251"
,,11,นายมิตร  ไชยสุระ,เสรีรวมไทย,"2,011"
,,8,นายธเทวินทร์  ตติยะรัตน์ดิลก,ประชาธิปัตย์,817
,,22,จ่าสิบเอก เผด็จ  อามาตย์สมบัติ,พลเมืองไทย,725
,,3,นายเศวต  ทินกูล,เพื่อชาติ,642
,,23,นายครรชิต  เกษรราช,เศรษฐกิจใหม่,570
,,13,นายเรืองชัย  วงษ์อุระ,ชาติไทยพัฒนา,555
,,1,ร้อยตำรวจโท เฉลิม  กล้าหาญ,ประชานิยม,403
,,30,นายวิวัฒน์  สรรพโส,ไทรักธรรม,323
,,19,นางสาวพนัชกร  ภคอธิเชษฐ์,ไทยศรีวิไลย์,219
,,4,นางรัศมี  ไชยต้นเทือก,รักษ์ผืนป่าประเทศไทย,207
,,17,นายวุฒิชัย  ชินบูรณ์,พลังปวงชนไทย,191
,,5,นายเสน่  คำมุงคุณ,พลังท้องถิ่นไท,97
,,29,นายสุริยา  ต้นหนองสรวง,ประชาชนปฏิรูป,90
,,25,นายธนูศักดิ์  วรรณคำผุย,ครูไทยเพื่อประชาชน,82
นครพนม,2,31,นายวีระเดชน์  ศรีนครา,พลังประชาธิปไตย,81
,,27,นายปรเมศวร์  เอกอะยะ,พลังไทยรักไทย,77
,,14,ว่าที่ ร้อยโท ไกรภพ  นครชัยกุล,รวมพลังประชาชาติไทย,67
,,16,นายยุทธพงษ์  เจริญพันธ์,ชาติพัฒนา,61
,,28,นายพีระนันท์  ชัยชนะศรี,ประชาธรรมไทย,61
,,26,นางพัชรินทร์  ยิ้มขลิบ,แผ่นดินธรรม,58
,,15,นายจำลอง  บัวสาย,พลังธรรมใหม่,50
,,7,นายดวงใจ  เชื้อคำเพ็ง,ประชาภิวัฒน์,47
,,20,นายสนิท  ชากิจดี,ประชาธิปไตยใหม่,47
,,18,นายเกษม  โพลมาศ,เพื่อแผ่นดิน,15
,3,6,นายไพจิต  ศรีวรขาน,เพื่อไทย,"33,645"
,,5,นายอลงกต  มณีกาศ,พลังประชารัฐ,"29,515"
,,10,นางปราณี  แสนมิตร,อนาคตใหม่,"12,099"
,,2,นายเข็มชาติ  ทรัพยสิทธิ์,เพื่อคนไทย,"5,000"
,,4,นางสาวเกศราพร  ศิริผลา,เสรีรวมไทย,"1,823"
,,17,นายมิตตา  จันทนะ,รวมใจไทย,"1,369"
,,8,นายศุภกิจ  โพธิ์ศรีมีสุข,ประชาธิปัตย์,806
,,9,นายอดุลศักดิ์  ไชยมนตรี,ภูมิใจไทย,658
,,26,นายปราโมทย์  โพธิ์ทอง,ครูไทยเพื่อประชาชน,529
,,7,นายเรืองสุข  จิตมาตย์,ชาติพัฒนา,389
,,24,นายสาธิต  หาญณรงค์,เศรษฐกิจใหม่,353
,,19,นายสุวิบูลย์  เตโชจิรพัฒน์,พลเมืองไทย,346
,,3,นายนารายณ์  ไชยมาตย์,ชาติไทยพัฒนา,294
,,14,นายหนุ่มเก้าเก้า  พานิชดี,เพื่อชาติ,283
,,1,นางธนิสากุศลิน  ศรีธนเดชณินธร,ประชานิยม,190
,,33,นายกองนี  พาที,ไทรักธรรม,163
,,29,นายชาญชัย  คำมุงคุณ,พลังท้องถิ่นไท,155
,,22,นายสมพงษ์  วิโรพรหม,พลังไทยรักไทย,151
,,34,นายอารมณ์  ดีสิงห์บุญ,พลังประชาธิปไตย,140
,,18,นายธนชาต  ธนโชติพิพิธ,ไทยศรีวิไลย์,138
,,15,นายวาดี  ไชยต้นเทือก,รักษ์ผืนป่าประเทศไทย,108
,,11,นายบุญเรือง  ตะวังทัน,พลังธรรมใหม่,104
,,27,นายเกรียงไกร  ศักดี,ประชาธรรมไทย,94
,,28,ร้อยตำรวจเอก สมรไชย  ไชยเดช,พลังชาติไทย,80
,,13,นางกานต์ฐิรัช  ราชวงศ์,รวมพลังประชาชาติไทย,66
,,21,นายจุมศักดิ์  สิทธิราช,แผ่นดินธรรม,62
,,32,นางเกวลิน  ปัญญาบุตร,ประชาชาติ,59
,,16,นายวิโรจน์  ศรีฉ่ำพันธุ์,เพื่อแผ่นดิน,50
,,20,นายเอกราช  หนึ่งคำมี,ประชาธิปไตยใหม่,34
,,12,นางปริศนา  เชื้อคำเพ็ง,ประชาภิวัฒน์,23
,,31,นายพัฒนวิชญ์  จันทมาศ,ประชาชนปฏิรูป,15
,4,2,นายชวลิต  วิชยสุทธิ์,เพื่อไทย,"44,675"
,,8,นายชูกัน  กุลวงษา,พลังประชารัฐ,"28,326"
,,15,นายพิศาล  บุพศิริ,อนาคตใหม่,"7,795"
,,9,นางสาวสุมาลี  พูลศิริกุล,เพื่อคนไทย,"1,481"
,,5,นางศิริพร  อยู่ประเสริฐ,เสรีรวมไทย,"1,341"
,,4,นายวิลัย  ยศสุริยะชัย,ภูมิใจไทย,"1,289"
นครพนม,4,7,นายธงชัย  นายกชน,ประชาธิปัตย์,858
,,22,นางสาวปราณี  ยะสะกะ,พลเมืองไทย,793
,,28,นายธนพล  วรรณวงศ์,พลังปวงชนไทย,609
,,1,ร้อยตรี หมอนชัย  เชื้อคำเพ็ง,ประชานิยม,409
,,25,นายประยูร  จันทร์ชนะ,เศรษฐกิจใหม่,256
,,3,นายภูษิต  จันดี,พลังธรรมใหม่,244
,,6,นายอุดร  ลาดบาศรี,ประชาภิวัฒน์,229
,,23,นายปียา  ผารุธรรม,ไทยศรีวิไลย์,227
,,12,นายณฐชนม์  แสนสุภา,พลังท้องถิ่นไท,163
,,13,นายสมคิด  สีดาจันทร์,ประชาธิปไตยใหม่,136
,,19,นายวันไสว  ฝาระมี,เพื่อชาติ,117
,,10,ร้อยตำรวจโท ประดิษฐ์  สาริยา,รักษ์ผืนป่าประเทศไทย,110
,,21,นางวราภรณ์  อาคะนิช,รวมใจไทย,100
,,11,นายอมต  แก่นงาม,รวมพลังประชาชาติไทย,97
,,17,นายพัฒนา  โต๊ะชาลี,ชาติไทยพัฒนา,92
,,29,นายเสริมศักดิ์  ศุภวงษ์สกุล,พลังชาติไทย,84
,,33,นายนิน  สอนคำ,พลังประชาธิปไตย,77
